﻿﻿﻿Region code,Region name,Father Region name
1156110000,北京市,中国大陆
1156120000,天津市,中国大陆
1156130000,河北省,中国大陆
1156130100,石家庄市,河北省
1156130200,唐山市,河北省
1156130300,秦皇岛市,河北省
1156130400,邯郸市,河北省
1156130500,邢台市,河北省
1156130600,保定市,河北省
1156130700,张家口市,河北省
1156130800,承德市,河北省
1156130900,沧州市,河北省
1156131000,廊坊市,河北省
1156131100,衡水市,河北省
1156140000,山西省,中国大陆
1156140100,太原市,山西省
1156140200,大同市,山西省
1156140300,阳泉市,山西省
1156140400,长治市,山西省
1156140500,晋城市,山西省
1156140600,朔州市,山西省
1156140700,晋中市,山西省
1156140800,运城市,山西省
1156140900,忻州市,山西省
1156141000,临汾市,山西省
1156141100,吕梁市,山西省
1156150000,内蒙古自治区,中国大陆
1156150100,呼和浩特市,内蒙古自治区
1156150200,包头市,内蒙古自治区
1156150300,乌海市,内蒙古自治区
1156150400,赤峰市,内蒙古自治区
1156150500,通辽市,内蒙古自治区
1156150600,鄂尔多斯市,内蒙古自治区
1156150700,呼伦贝尔市,内蒙古自治区
1156150800,巴彦淖尔市,内蒙古自治区
1156150900,乌兰察布市,内蒙古自治区
1156152200,兴安盟,内蒙古自治区
1156152500,锡林郭勒盟,内蒙古自治区
1156152900,阿拉善盟,内蒙古自治区
1156210000,辽宁省,中国大陆
1156210100,沈阳市,辽宁省
1156210200,大连市,辽宁省
1156210300,鞍山市,辽宁省
1156210400,抚顺市,辽宁省
1156210500,本溪市,辽宁省
1156210600,丹东市,辽宁省
1156210700,锦州市,辽宁省
1156210800,营口市,辽宁省
1156210900,阜新市,辽宁省
1156211000,辽阳市,辽宁省
1156211100,盘锦市,辽宁省
1156211200,铁岭市,辽宁省
1156211300,朝阳市,辽宁省
1156211400,葫芦岛市,辽宁省
1156220000,吉林省,中国大陆
1156220100,长春市,吉林省
1156220200,吉林市,吉林省
1156220300,四平市,吉林省
1156220400,辽源市,吉林省
1156220500,通化市,吉林省
1156220600,白山市,吉林省
1156220700,松原市,吉林省
1156220800,白城市,吉林省
1156222400,延边朝鲜族自治州,吉林省
1156230000,黑龙江省,中国大陆
1156230100,哈尔滨市,黑龙江省
1156230200,齐齐哈尔市,黑龙江省
1156230300,鸡西市,黑龙江省
1156230400,鹤岗市,黑龙江省
1156230500,双鸭山市,黑龙江省
1156230600,大庆市,黑龙江省
1156230700,伊春市,黑龙江省
1156230800,佳木斯市,黑龙江省
